jour,mois,an,Num_Acc,hrmn,lum,agg,int,atm,col,com,lat,long,dep,count
1,1,18,21794403200929,115237,359,164,149,231.0,504.0,20147,477964955.0,57155994.0,61858,108
1,2,18,36324005562444,241987,424,301,368,408.0,763.0,33215,800563732.0,75309596.0,108351,180
1,3,18,20987202768789,126393,208,168,187,311.0,465.0,20553,461372658.0,36302720.0,57801,104
1,4,18,22601602996874,157178,242,178,218,135.0,494.0,25275,489107174.0,68610494.0,62395,112
1,5,18,23408803399606,158327,213,181,241,181.0,504.0,24147,515265533.0,53172254.0,65921,116
1,6,18,35113205246822,254434,260,289,334,287.0,658.0,30234,782596215.0,69895294.0,105926,174
1,7,18,33498804157965,216264,295,248,290,189.0,722.0,35564,751126536.0,72711404.0,92733,166
1,8,18,32086204224369,215874,224,256,328,195.0,637.0,29375,677590998.0,63511757.0,92451,159
1,9,18,34104204171924,228116,324,264,350,207.0,679.0,38996,751296083.0,79377236.0,98206,169
1,10,18,38745605971344,256597,285,322,363,280.0,797.0,36156,843883103.0,60863276.0,110950,192
1,11,18,28050203986893,162539,356,211,293,349.0,627.0,25293,620654402.0,65203603.0,81932,139
1,12,18,35920405317790,242148,504,275,382,333.0,818.0,37207,802284260.0,83833525.0,106728,178
2,1,18,22198002958016,164334,297,179,218,274.0,449.0,19565,483858165.0,32493080.0,63685,110
2,2,18,33700604864504,246300,375,280,305,266.0,677.0,32572,728818595.0,67599657.0,96536,167
2,3,18,29664604473317,215985,328,233,275,307.0,585.0,28281,609526079.0,83347423.0,85907,147
2,4,18,17556602302337,120080,165,136,170,121.0,387.0,18446,389609850.0,41399936.0,50645,87
2,5,18,30270004546065,209966,207,250,302,214.0,612.0,30141,692606470.0,58657705.0,90375,150
2,6,18,35315004507622,253161,257,272,349,211.0,698.0,31874,769680205.0,91186776.0,101377,175
2,7,18,36727605467107,256021,228,312,382,251.0,749.0,36113,827088914.0,95019367.0,106122,182
2,8,18,35113204658367,235806,262,276,357,234.0,672.0,32719,773243208.0,79911975.0,96002,174
2,9,18,33095204124085,223981,288,258,340,171.0,693.0,37142,751223409.0,56915162.0,83818,164
2,10,18,32893405015888,215213,303,286,340,267.0,669.0,25567,733304953.0,52538318.0,96108,163
2,11,18,31884404714528,230448,342,247,350,229.0,593.0,31982,722626531.0,48919318.0,93454,158
2,12,18,27848404406565,172700,445,215,301,316.0,628.0,22573,605046647.0,87932426.0,88060,138
3,1,18,21390803317100,149880,329,184,220,313.0,471.0,18446,479165609.0,27563893.0,65783,106
3,2,18,27243003590306,185684,352,218,245,274.0,563.0,22898,605971986.0,43201632.0,76344,135
3,3,18,24014203296592,169464,259,192,195,217.0,551.0,20272,514987394.0,60208499.0,67946,119
3,4,18,32691604780503,225354,250,277,392,292.0,648.0,26726,729094767.0,58236180.0,98711,162
3,5,18,28655604341353,202211,192,231,276,181.0,553.0,25840,633656196.0,67115580.0,87788,142
3,6,18,28857403507573,186423,243,225,305,219.0,641.0,31480,635232399.0,73863476.0,80181,143
3,7,18,34507805279248,236233,211,283,401,212.0,655.0,28597,791143940.0,71229793.0,105114,171
3,8,18,35920404334154,249791,261,287,388,203.0,713.0,36147,785160043.0,59135985.0,93304,178
3,9,18,29462804186275,205636,215,245,304,186.0,600.0,27522,637879362.0,52822355.0,81886,146
3,10,18,40360006051488,271254,358,331,469,328.0,872.0,36269,875431001.0,95400465.0,118011,200
3,11,18,29261003996351,200153,363,239,321,219.0,593.0,27799,647781435.0,56185633.0,83251,145
3,12,18,36525805746727,243855,430,296,390,421.0,773.0,35363,793730129.0,68334987.0,106696,181
4,1,18,23408803340449,168914,322,199,226,269.0,497.0,20309,499218565.0,47488750.0,66611,116
4,2,18,21996203288232,136467,301,167,209,188.0,521.0,19268,474073784.0,52520345.0,64953,109
4,3,18,24014203372429,161019,282,182,219,260.0,538.0,23114,534761652.0,48152508.0,65781,119
4,4,18,24821403730310,171140,184,206,252,251.0,490.0,24270,563408944.0,45548042.0,76701,123
4,5,18,39149206214345,281246,273,322,396,233.0,795.0,35878,863080637.0,86672474.0,125958,194
4,6,18,31682604423729,232648,214,258,293,252.0,641.0,29787,718194341.0,47611768.0,87477,157
4,7,18,42378006098058,295743,293,338,429,257.0,860.0,49583,945763898.0,94873372.0,122363,210
4,8,18,33095204298810,224000,293,259,297,229.0,681.0,34095,723898087.0,64063915.0,96376,164
4,9,18,36324005164645,249707,259,299,341,271.0,674.0,34311,760925721.0,78383167.0,104162,180
4,10,18,42983406454594,307492,357,368,470,283.0,860.0,40745,923184745.0,92566790.0,132498,213
4,11,18,23408803112620,142990,293,178,221,201.0,520.0,23217,500481829.0,69967987.0,63043,116
4,12,18,35315005331885,242555,450,290,383,329.0,740.0,34222,753693905.0,78620504.0,104468,175
5,1,18,30270004415108,223455,383,252,300,312.0,597.0,28898,678225913.0,48478147.0,86369,150
5,2,18,24821403956039,160603,239,211,256,333.0,568.0,23313,543292820.0,56546034.0,70104,123
5,3,18,24821403635846,158051,218,205,204,214.0,546.0,26883,559603228.0,41245080.0,68033,123
5,4,18,28453804236309,195871,217,240,319,187.0,584.0,23314,622800376.0,63843472.0,85286,141
5,5,18,43588805737160,305938,351,346,390,268.0,949.0,42753,958412823.0,105260861.0,123023,216
5,6,18,36727605471560,252735,273,308,365,373.0,747.0,37410,807808106.0,104361894.0,104210,182
5,7,18,36525805156934,258330,261,296,358,292.0,691.0,39911,826901543.0,85543969.0,101982,181
5,8,18,25426803322244,170196,226,192,224,174.0,538.0,27179,537051416.0,70455568.0,67763,126
5,9,18,32893404933610,231212,264,280,335,230.0,669.0,31105,701239394.0,98940593.0,101173,163
5,10,18,53477007774818,369130,466,449,486,343.0,1101.0,52892,1178105247.0,93291252.0,150060,265
5,11,18,28857404276967,212440,338,240,295,217.0,595.0,27164,634584355.0,69930899.0,83590,143
5,12,18,32893404768400,234545,401,274,310,285.0,648.0,27948,730511774.0,66584395.0,95194,163
6,1,18,20180002700613,148195,274,171,186,189.0,443.0,18296,468544725.0,31698684.0,58376,100
6,2,18,24014203541780,156710,265,198,200,347.0,503.0,22557,541335468.0,39229149.0,70926,119
6,3,18,27243004121639,176151,246,222,303,236.0,604.0,25922,601456116.0,43095154.0,81513,135
6,4,18,53073407709513,357370,446,445,535,336.0,1051.0,48372,1197669532.0,98740106.0,151626,263
6,5,18,33095204514150,223267,267,258,298,222.0,679.0,36339,726962310.0,80060069.0,95565,164
6,6,18,36929405530060,264836,262,310,385,353.0,758.0,37847,834898539.0,73066157.0,109178,183
6,7,18,40360005551025,294646,279,333,382,268.0,792.0,42359,874201239.0,98196699.0,113780,200
6,8,18,27243003498320,192393,183,210,273,196.0,577.0,26119,580743090.0,60823302.0,76568,135
6,9,18,37131205400439,252254,315,313,363,308.0,762.0,32353,819797561.0,77032080.0,101915,184
6,10,18,38947405657699,254665,408,318,462,274.0,788.0,37348,854098721.0,90194876.0,113843,193
6,11,18,39754606147372,288462,458,329,387,390.0,813.0,36272,871838852.0,102343828.0,122846,197
6,12,18,32893404987545,222217,436,263,295,342.0,691.0,35519,716158858.0,80500368.0,98103,163
7,1,18,18969202757293,104351,299,147,182,195.0,462.0,17805,427751948.0,50505904.0,56830,94
7,2,18,18162002231717,116377,168,157,145,198.0,411.0,14505,378299525.0,66218135.0,44790,90
7,3,18,25426804024909,175168,238,204,283,224.0,521.0,24792,560626245.0,65784779.0,78874,126
7,4,18,33297004509542,232789,322,262,340,220.0,690.0,31126,738219840.0,88746214.0,93604,165
7,5,18,34507805059004,251088,240,286,342,222.0,658.0,31376,783597351.0,78918362.0,106741,171
7,6,18,31884404802720,241781,210,266,305,249.0,588.0,30419,727400705.0,62693360.0,91309,158
7,7,18,38543805368875,242504,294,296,334,229.0,818.0,43184,843271545.0,92943212.0,111671,191
7,8,18,28857403684596,195373,244,229,282,189.0,557.0,26451,624724798.0,69545036.0,74225,143
